record_id,group_id,split
emscad_00417,group_00348,train
emscad_00418,group_00349,train
emscad_00419,group_00350,train
emscad_00424,group_00353,train
emscad_00425,group_00354,train
emscad_00426,group_00355,train
emscad_00428,group_00357,train
emscad_00429,group_00358,train
emscad_00430,group_00359,train
emscad_00431,group_00360,train
emscad_00432,group_00361,train
emscad_00433,group_00362,train
emscad_00435,group_00364,train
emscad_00439,group_00366,train
emscad_00440,group_00367,train
emscad_00441,group_00368,train
emscad_00442,group_00369,train
emscad_00443,group_00370,train
emscad_00444,group_00371,train
emscad_00446,group_00010,train
emscad_00447,group_00372,train
emscad_00448,group_00373,train
emscad_00450,group_00375,train
emscad_00451,group_00376,train
emscad_00453,group_00378,train
emscad_00455,group_00380,train
emscad_00456,group_00381,train
emscad_00457,group_00382,train
emscad_00458,group_00383,train
emscad_00459,group_00384,train
emscad_00462,group_00387,train
emscad_00464,group_00388,train
emscad_00465,group_00389,train
emscad_00466,group_00390,train
emscad_00467,group_00391,train
emscad_00468,group_00392,train
emscad_00469,group_00393,train
emscad_00471,group_00076,train
emscad_00472,group_00395,train
emscad_00475,group_00397,train
emscad_00477,group_00399,train
emscad_00478,group_00400,train
emscad_00479,group_00401,train
emscad_00481,group_00402,train
emscad_00482,group_00403,train
emscad_00483,group_00404,train
emscad_00484,group_00405,train
emscad_00485,group_00406,train
emscad_00487,group_00408,train
emscad_00488,group_00010,train
emscad_00489,group_00409,train
emscad_00490,group_00410,train
emscad_00492,group_00412,train
emscad_00493,group_00413,train
emscad_00494,group_00414,train
emscad_00495,group_00415,train
emscad_00498,group_00416,train
emscad_00501,group_00419,train
emscad_00502,group_00420,train
emscad_00506,group_00423,train
emscad_00507,group_00424,train
emscad_00508,group_00425,train
emscad_00510,group_00426,train
emscad_00511,group_00427,train
emscad_00518,group_00433,train
emscad_00519,group_00434,train
emscad_00521,group_00436,train
emscad_00523,group_00437,train
emscad_00525,group_00439,train
emscad_00526,group_00440,train
emscad_00527,group_00441,train
emscad_00528,group_00442,train
emscad_00529,group_00443,train
emscad_00530,group_00444,train
emscad_00531,group_00445,train
emscad_00532,group_00446,train
emscad_00533,group_00447,train
emscad_00537,group_00450,train
emscad_00538,group_00451,train
emscad_00539,group_00452,train
emscad_00540,group_00453,train
emscad_00541,group_00454,train
emscad_00542,group_00455,train
emscad_00543,group_00456,train
emscad_00546,group_00459,train
emscad_00547,group_00460,train
emscad_00548,group_00461,train
emscad_00549,group_00462,train
emscad_00550,group_00463,train
emscad_00551,group_00464,train
emscad_00553,group_00465,train
emscad_00554,group_00466,train
emscad_00557,group_00468,train
emscad_00558,group_00469,train
emscad_00561,group_00472,train
emscad_00562,group_00473,train
emscad_00563,group_00474,train
emscad_00564,group_00475,train
emscad_00565,group_00476,train
emscad_00568,group_00478,train
emscad_00571,group_00479,train
emscad_00572,group_00480,train
emscad_00573,group_00481,train
emscad_00574,group_00482,train
emscad_00575,group_00483,train
emscad_00579,group_00485,train
emscad_00580,group_00486,train
emscad_00583,group_00489,train
emscad_00585,group_00491,train
emscad_00586,group_00492,train
emscad_00587,group_00493,train
emscad_00590,group_00495,train
emscad_00592,group_00497,train
emscad_00595,group_00498,train
emscad_00596,group_00499,train
emscad_00599,group_00501,train
emscad_00601,group_00503,train
emscad_00603,group_00504,train
emscad_00604,group_00505,train
emscad_00605,group_00506,train
emscad_00606,group_00507,train
emscad_00607,group_00508,train
emscad_00608,group_00509,train
emscad_00609,group_00510,train
emscad_00610,group_00511,train
emscad_00612,group_00512,train
emscad_00614,group_00514,train
emscad_00618,group_00516,train
emscad_00620,group_00518,train
emscad_00622,group_00519,train
emscad_00624,group_00031,train
emscad_00627,group_00521,train
emscad_00628,group_00522,train
emscad_00629,group_00523,train
emscad_00632,group_00526,train
emscad_00633,group_00527,train
emscad_00634,group_00528,train
emscad_00635,group_00529,train
emscad_00636,group_00530,train
emscad_00637,group_00531,train
emscad_00641,group_00535,train
emscad_00642,group_00536,train
emscad_00643,group_00537,train
emscad_00644,group_00538,train
emscad_00645,group_00539,train
emscad_00646,group_00540,train
emscad_00652,group_00545,train
emscad_00654,group_00546,train
emscad_00657,group_00549,train
emscad_00658,group_00550,train
emscad_00659,group_00551,train
emscad_00660,group_00552,train
emscad_00663,group_00555,train
emscad_00665,group_00557,train
emscad_00666,group_00031,train
emscad_00667,group_00558,train
emscad_00668,group_00559,train
emscad_00669,group_00560,train
emscad_00671,group_00562,train
emscad_00673,group_00563,train
emscad_00674,group_00564,train
emscad_00676,group_00565,train
emscad_00677,group_00566,train
emscad_00678,group_00567,train
emscad_00679,group_00568,train
emscad_00681,group_00570,train
emscad_00682,group_00571,train
emscad_00683,group_00572,train
emscad_00684,group_00573,train
emscad_00685,group_00574,train
emscad_00686,group_00575,train
emscad_00687,group_00576,train
emscad_00688,group_00577,train
emscad_00689,group_00578,train
emscad_00692,group_00580,train
emscad_00694,group_00581,train
emscad_00695,group_00582,train
emscad_00699,group_00584,train
emscad_00700,group_00585,train
emscad_00701,group_00586,train
emscad_00704,group_00587,train
emscad_00705,group_00588,train
emscad_00706,group_00589,train
emscad_00710,group_00592,train
emscad_00715,group_00596,train
emscad_00716,group_00597,train
emscad_00717,group_00598,train
emscad_00718,group_00599,train
emscad_00719,group_00600,train
emscad_00720,group_00601,train
emscad_00721,group_00602,train
emscad_00723,group_00604,train
emscad_00724,group_00605,train
emscad_00726,group_00606,train
emscad_00727,group_00607,train
emscad_00728,group_00608,train
emscad_00729,group_00609,train
emscad_00731,group_00611,train
emscad_00732,group_00612,train
emscad_00733,group_00278,train
emscad_00734,group_00613,train
emscad_00736,group_00010,train
emscad_00738,group_00616,train
emscad_00741,group_00618,train
emscad_00742,group_00619,train
emscad_00744,group_00620,train
emscad_00745,group_00621,train
emscad_00746,group_00622,train
emscad_00747,group_00623,train
emscad_00749,group_00624,train
emscad_00750,group_00625,train
emscad_00751,group_00626,train
emscad_00755,group_00630,train
emscad_00757,group_00631,train
emscad_00759,group_00633,train
emscad_00760,group_00634,train
emscad_00761,group_00635,train
emscad_00764,group_00638,train
emscad_00765,group_00639,train
emscad_00766,group_00640,train
emscad_00767,group_00641,train
emscad_00770,group_00644,train
emscad_00771,group_00645,train
emscad_00772,group_00646,train
emscad_00773,group_00647,train
emscad_00775,group_00649,train
emscad_00777,group_00651,train
emscad_00779,group_00652,train
emscad_00783,group_00656,train
emscad_00785,group_00658,train
emscad_00787,group_00659,train
emscad_00788,group_00660,train
emscad_00790,group_00662,train
emscad_00792,group_00664,train
emscad_00793,group_00665,train
emscad_00794,group_00666,train
emscad_00797,group_00669,train
emscad_00798,group_00670,train
emscad_00800,group_00672,train
emscad_00801,group_00673,train
emscad_00802,group_00674,train
emscad_00806,group_00677,train
emscad_00807,group_00678,train
emscad_00808,group_00679,train
emscad_00809,group_00680,train
emscad_00813,group_00682,train
emscad_00814,group_00683,train
emscad_00816,group_00685,train
emscad_00817,group_00151,train
emscad_00819,group_00686,train
emscad_00820,group_00687,train
emscad_00821,group_00688,train
emscad_00822,group_00689,train
emscad_00824,group_00690,train
emscad_00827,group_00692,train
emscad_00829,group_00694,train
emscad_00830,group_00695,train
emscad_00831,group_00696,train
emscad_00832,group_00697,train
emscad_00833,group_00698,train
emscad_00834,group_00699,train
emscad_00836,group_00701,train
emscad_00839,group_00702,train
emscad_00843,group_00706,train
emscad_00844,group_00707,train
emscad_00845,group_00708,train
emscad_00846,group_00709,train
emscad_00847,group_00710,train
emscad_00848,group_00711,train
emscad_00849,group_00712,train
emscad_00852,group_00715,train
emscad_00853,group_00716,train
emscad_00854,group_00717,train
emscad_00855,group_00718,train
emscad_00856,group_00719,train
emscad_00857,group_00720,train
emscad_00858,group_00721,train
emscad_00860,group_00723,train
emscad_00861,group_00285,train
emscad_00862,group_00724,train
emscad_00863,group_00725,train
emscad_00864,group_00726,train
emscad_00865,group_00727,train
emscad_00867,group_00729,train
emscad_00868,group_00730,train
emscad_00869,group_00731,train
emscad_00872,group_00734,train
emscad_00873,group_00735,train
emscad_00874,group_00736,train
emscad_00875,group_00737,train
emscad_00876,group_00738,train
emscad_00877,group_00739,train
emscad_00878,group_00740,train
emscad_00880,group_00742,train
emscad_00881,group_00743,train
emscad_00882,group_00744,train
emscad_00883,group_00745,train
emscad_00888,group_00750,train
emscad_00889,group_00751,train
emscad_00890,group_00752,train
emscad_00892,group_00754,train
emscad_00894,group_00756,train
emscad_00895,group_00757,train
emscad_00896,group_00758,train
emscad_00897,group_00759,train
emscad_00898,group_00760,train
emscad_00899,group_00761,train
emscad_00900,group_00762,train
emscad_00903,group_00765,train
emscad_00904,group_00766,train
emscad_00905,group_00767,train
emscad_00906,group_00768,train
emscad_00907,group_00769,train
emscad_00909,group_00771,train
emscad_00914,group_00776,train
emscad_00915,group_00777,train
emscad_00916,group_00778,train
emscad_00918,group_00780,train
emscad_00919,group_00781,train
emscad_00920,group_00782,train
emscad_00923,group_00785,train
emscad_00924,group_00786,train
emscad_00925,group_00787,train
emscad_00926,group_00788,train
emscad_00927,group_00789,train
emscad_00928,group_00790,train
emscad_00930,group_00792,train
emscad_00933,group_00795,train
emscad_00934,group_00796,train
emscad_00935,group_00797,train
emscad_00936,group_00798,train
emscad_00937,group_00799,train
emscad_00938,group_00800,train
emscad_00939,group_00801,train
emscad_00940,group_00802,train
emscad_00941,group_00803,train
emscad_00944,group_00806,train
emscad_00945,group_00807,train
emscad_00946,group_00808,train
emscad_00947,group_00809,train
emscad_00949,group_00810,train
emscad_00950,group_00811,train
emscad_00951,group_00812,train
emscad_00952,group_00813,train
emscad_00953,group_00814,train
emscad_00954,group_00815,train
emscad_00956,group_00817,train
emscad_00960,group_00821,train
emscad_00961,group_00822,train
emscad_00962,group_00823,train
emscad_00963,group_00824,train
emscad_00967,group_00827,train
emscad_00968,group_00828,train
emscad_00969,group_00829,train
emscad_00972,group_00832,train
emscad_00973,group_00833,train
emscad_00974,group_00834,train
emscad_00975,group_00835,train
emscad_00977,group_00837,train
emscad_00978,group_00838,train
emscad_00979,group_00839,train
emscad_00980,group_00840,train
emscad_00981,group_00841,train
emscad_00982,group_00842,train
emscad_00983,group_00843,train
emscad_00987,group_00847,train
emscad_00988,group_00848,train
emscad_00989,group_00849,train
emscad_00990,group_00850,train
emscad_00993,group_00853,train
emscad_00997,group_00857,train
emscad_00999,group_00859,train
emscad_01000,group_00860,train
emscad_01001,group_00861,train
emscad_01003,group_00863,train
emscad_01004,group_00864,train
emscad_01006,group_00866,train
emscad_01008,group_00337,train
emscad_01009,group_00867,train
emscad_01010,group_00868,train
emscad_01012,group_00870,train
emscad_01013,group_00871,train
emscad_01014,group_00872,train
emscad_01015,group_00873,train
emscad_01016,group_00874,train
emscad_01017,group_00875,train
emscad_01019,group_00877,train
emscad_01020,group_00861,train
emscad_01022,group_00879,train
emscad_01023,group_00880,train
emscad_01025,group_00882,train
emscad_01026,group_00883,train
emscad_01029,group_00886,train
emscad_01030,group_00887,train
emscad_01032,group_00889,train
emscad_01033,group_00890,train
emscad_01034,group_00891,train
emscad_01035,group_00892,train
emscad_01037,group_00894,train
emscad_01038,group_00895,train
emscad_01040,group_00897,train
emscad_01041,group_00898,train
emscad_01042,group_00899,train
emscad_01044,group_00901,train
emscad_01045,group_00902,train
emscad_01046,group_00903,train
emscad_01047,group_00904,train
emscad_01049,group_00906,train
emscad_01050,group_00907,train
emscad_01051,group_00908,train
emscad_01053,group_00910,train
emscad_01054,group_00911,train
emscad_01057,group_00913,train
emscad_01058,group_00914,train
emscad_01060,group_00916,train
emscad_01062,group_00918,train
emscad_01063,group_00919,train
emscad_01064,group_00920,train
emscad_01066,group_00922,train
emscad_01067,group_00923,train
emscad_01068,group_00924,train
emscad_01069,group_00925,train
emscad_01070,group_00926,train
emscad_01071,group_00927,train
emscad_01073,group_00929,train
emscad_01074,group_00080,train
emscad_01075,group_00930,train
emscad_01076,group_00931,train
emscad_01078,group_00933,train
emscad_01079,group_00934,train
emscad_01080,group_00029,train
emscad_01081,group_00240,train
emscad_01083,group_00936,train
emscad_01084,group_00937,train
emscad_01085,group_00938,train
emscad_01086,group_00939,train
emscad_01087,group_00940,train
emscad_01088,group_00941,train
emscad_01089,group_00942,train
emscad_01090,group_00010,train
emscad_01094,group_00945,train
emscad_01095,group_00946,train
emscad_01096,group_00947,train
emscad_01099,group_00240,train
emscad_01100,group_00950,train
emscad_01101,group_00951,train
emscad_01102,group_00952,train
emscad_01103,group_00953,train
emscad_01106,group_00956,train
emscad_01107,group_00957,train
emscad_01108,group_00347,train
emscad_01109,group_00958,train
emscad_01110,group_00959,train
emscad_01112,group_00961,train
emscad_01113,group_00962,train
emscad_01114,group_00963,train
emscad_01115,group_00964,train
emscad_01117,group_00966,train
emscad_01118,group_00967,train
emscad_01120,group_00969,train
emscad_01121,group_00970,train
emscad_01122,group_00971,train
emscad_01123,group_00972,train
emscad_01125,group_00974,train
emscad_01126,group_00975,train
emscad_01127,group_00976,train
emscad_01128,group_00977,train
emscad_01129,group_00978,train
emscad_01130,group_00979,train
emscad_01131,group_00980,train
emscad_01132,group_00981,train
emscad_01136,group_00985,train
emscad_01138,group_00987,train
emscad_01139,group_00988,train
emscad_01140,group_00989,train
emscad_01141,group_00990,train
emscad_01142,group_00991,train
emscad_01143,group_00992,train
emscad_01144,group_00993,train
emscad_01146,group_00995,train
emscad_01147,group_00996,train
emscad_01149,group_00998,train
emscad_01151,group_00999,train
emscad_01152,group_01000,train
emscad_01154,group_01002,train
emscad_01156,group_01004,train
emscad_01157,group_01005,train
emscad_01160,group_01008,train
emscad_01163,group_01010,train
emscad_01164,group_01011,train
emscad_01166,group_01013,train
emscad_01167,group_01014,train
emscad_01168,group_01015,train
emscad_01170,group_01017,train
emscad_01173,group_01019,train
emscad_01174,group_01020,train
emscad_01175,group_01021,train
emscad_01176,group_01022,train
emscad_01177,group_01023,train
emscad_01179,group_01025,train
emscad_01181,group_01027,train
emscad_01182,group_01028,train
emscad_01183,group_01029,train
emscad_01184,group_01030,train
emscad_01185,group_01031,train
emscad_01186,group_01032,train
emscad_01187,group_01033,train
emscad_01188,group_01034,train
emscad_01192,group_01038,train
emscad_01194,group_01040,train
emscad_01195,group_01041,train
emscad_01199,group_01044,train
emscad_01200,group_01045,train
emscad_01201,group_01046,train
emscad_01202,group_01047,train
emscad_01203,group_01048,train
emscad_01204,group_01049,train
emscad_01206,group_01051,train
emscad_01207,group_01052,train
emscad_01209,group_01054,train
emscad_01210,group_01055,train
emscad_01211,group_01056,train
emscad_01215,group_01059,train
emscad_01216,group_01017,train
emscad_01218,group_01060,train
emscad_01219,group_01061,train
emscad_01220,group_01017,train
emscad_01221,group_01062,train
emscad_01223,group_01063,train
emscad_01227,group_01067,train
emscad_01228,group_01068,train
emscad_01231,group_01071,train
emscad_01233,group_01072,train
emscad_01237,group_01075,train
emscad_01238,group_01076,train
emscad_01239,group_01077,train
emscad_01241,group_01079,train
emscad_01242,group_01080,train
emscad_01244,group_01082,train
emscad_01245,group_01083,train
emscad_01247,group_01084,train
emscad_01250,group_01086,train
emscad_01252,group_01087,train
emscad_01253,group_01088,train
emscad_01254,group_01089,train
emscad_01255,group_01090,train
emscad_01256,group_01091,train
emscad_01258,group_01093,train
emscad_01259,group_01094,train
emscad_01260,group_01095,train
emscad_01261,group_01096,train
emscad_01262,group_01097,train
emscad_01265,group_01100,train
emscad_01267,group_01102,train
emscad_01268,group_01103,train
emscad_01269,group_01104,train
emscad_01272,group_01107,train
emscad_01273,group_01108,train
emscad_01274,group_01109,train
emscad_01275,group_01110,train
emscad_01276,group_01111,train
emscad_01279,group_01114,train
emscad_01280,group_01115,train
emscad_01281,group_01116,train
emscad_01282,group_01117,train
emscad_01283,group_01118,train
emscad_01284,group_01119,train
emscad_01285,group_01120,train
emscad_01286,group_01121,train
emscad_01287,group_01122,train
emscad_01288,group_01123,train
emscad_01289,group_01124,train
emscad_01290,group_01125,train
emscad_01291,group_01126,train
emscad_01292,group_01127,train
emscad_01293,group_01128,train
emscad_01297,group_01132,train
emscad_01301,group_01135,train
emscad_01303,group_01137,train
emscad_01304,group_01138,train
emscad_01305,group_01139,train
emscad_01306,group_01140,train
emscad_01307,group_01141,train
emscad_01308,group_01142,train
emscad_01310,group_01144,train
emscad_01311,group_01145,train
emscad_01312,group_01146,train
emscad_01315,group_01149,train
emscad_01316,group_01150,train
emscad_01318,group_01152,train
emscad_01319,group_01153,train
emscad_01321,group_01155,train
emscad_01322,group_01156,train
emscad_01324,group_00870,train
emscad_01325,group_01158,train
emscad_01326,group_01159,train
emscad_01329,group_01161,train
emscad_01330,group_01162,train
emscad_01332,group_01164,train
emscad_01333,group_01165,train
emscad_01334,group_01166,train
emscad_01336,group_01168,train
emscad_01337,group_01169,train
emscad_01339,group_01171,train
emscad_01340,group_01172,train
emscad_01341,group_01173,train
emscad_01342,group_01174,train
emscad_01343,group_01175,train
emscad_01345,group_01177,train
emscad_01346,group_01178,train
emscad_01347,group_01179,train
emscad_01348,group_01180,train
emscad_01349,group_01181,train
emscad_01350,group_01182,train
emscad_01351,group_01183,train
emscad_01353,group_01185,train
emscad_01354,group_01186,train
emscad_01355,group_01187,train
emscad_01356,group_01188,train
emscad_01357,group_01189,train
emscad_01359,group_01191,train
emscad_01360,group_01192,train
emscad_01361,group_01193,train
emscad_01362,group_01194,train
emscad_01363,group_01195,train
emscad_01365,group_01197,train
emscad_01367,group_01155,train
emscad_01369,group_01200,train
emscad_01370,group_01201,train
emscad_01372,group_01202,train
emscad_01373,group_01203,train
emscad_01374,group_01204,train
emscad_01375,group_01205,train
emscad_01376,group_01206,train
emscad_01377,group_01207,train
emscad_01378,group_01208,train
emscad_01379,group_01209,train
emscad_01380,group_01210,train
emscad_01381,group_01211,train
emscad_01382,group_01212,train
emscad_01383,group_01213,train
emscad_01384,group_01214,train
emscad_01386,group_01216,train
emscad_01387,group_01217,train
emscad_01389,group_01219,train
emscad_01390,group_01220,train
emscad_01391,group_01221,train
emscad_01392,group_01222,train
emscad_01397,group_01227,train
emscad_01399,group_01229,train
emscad_01401,group_01231,train
emscad_01402,group_01232,train
emscad_01403,group_01233,train
emscad_01405,group_01234,train
emscad_01406,group_01235,train
emscad_01407,group_01236,train
emscad_01411,group_01240,train
emscad_01414,group_01243,train
emscad_01416,group_01245,train
emscad_01418,group_01247,train
emscad_01420,group_01249,train
emscad_01422,group_01251,train
emscad_01423,group_00240,train
emscad_01426,group_01253,train
emscad_01427,group_01254,train
emscad_01429,group_01256,train
emscad_01432,group_01259,train
emscad_01435,group_01262,train
emscad_01436,group_01263,train
emscad_01442,group_01268,train
emscad_01443,group_01269,train
emscad_01444,group_01270,train
emscad_01445,group_01271,train
emscad_01446,group_01272,train
emscad_01447,group_01273,train
emscad_01448,group_01274,train
emscad_01449,group_01275,train
emscad_01450,group_01276,train
emscad_01451,group_01277,train
emscad_01452,group_01278,train
emscad_01453,group_01279,train
emscad_01454,group_01280,train
emscad_01455,group_01281,train
emscad_01456,group_01282,train
emscad_01458,group_01284,train
emscad_01459,group_01285,train
emscad_01461,group_01287,train
emscad_01462,group_01288,train
emscad_01463,group_01289,train
emscad_01464,group_01290,train
emscad_01465,group_01291,train
emscad_01466,group_00504,train
emscad_01468,group_01293,train
emscad_01469,group_01221,train
emscad_01470,group_01294,train
emscad_01472,group_01296,train
emscad_01473,group_01297,train
emscad_01474,group_01298,train
emscad_01475,group_01299,train
emscad_01476,group_01300,train
emscad_01477,group_01301,train
emscad_01478,group_01302,train
emscad_01479,group_01303,train
emscad_01480,group_01304,train
emscad_01481,group_01305,train
emscad_01483,group_01307,train
emscad_01485,group_01309,train
emscad_01488,group_00240,train
emscad_01489,group_01312,train
emscad_01490,group_01313,train
emscad_01491,group_01314,train
emscad_01492,group_01315,train
emscad_01493,group_01316,train
emscad_01494,group_00220,train
emscad_01495,group_01317,train
emscad_01496,group_01318,train
emscad_01497,group_01319,train
emscad_01498,group_01320,train
emscad_01499,group_01321,train
emscad_01500,group_01322,train
emscad_01503,group_01325,train
emscad_01504,group_01326,train
emscad_01506,group_01328,train
emscad_01510,group_00838,train
emscad_01512,group_01333,train
emscad_01513,group_01334,train
emscad_01514,group_01335,train
emscad_01515,group_01336,train
emscad_01516,group_01337,train
emscad_01517,group_01338,train
emscad_01518,group_01339,train
emscad_01520,group_01341,train
emscad_01521,group_01342,train
emscad_01522,group_01343,train
emscad_01523,group_01344,train
emscad_01526,group_01347,train
emscad_01528,group_01349,train
emscad_01529,group_01350,train
emscad_01531,group_01352,train
emscad_01532,group_01353,train
